region,dist_to_central_st,num_of_rooms,size,fee,final_price,initial_price,year_built
Nacka,1680,4,91,5861,2120000,1995000,1967
Stockholm,1305,2,47,3080,3695000,3695000,2007
Stockholm,788,3,64.5,1594,6820000,5795000,1927
Stockholm,1936,2,58,3526,2110000,1995000,1953
Stockholm,683,2,47,1764,5400000,5000000,1903
Stockholm,663,2,39,2217,3850000,3295000,1930
Stockholm,383,2,46,2757,4550000,4595000,1937
Stockholm,1495,2,50.5,3844,2020000,1890000,2003
Stockholm,1195,3,80,4362,5950000,4995000,1938
Stockholm,953,2,48,2229,4875000,4195000,1940
Stockholm,573,3,70,2293,9700000,8495000,1897
Stockholm,1351,2,57,3772,2330000,1990000,2008
Solna,765,3,78,3988,4360000,3995000,1991
Stockholm,841,2,37,2052,3220000,2950000,1927
